Time,Channel A,Channel B
(ms),(V),(mV)
-0.58645803,-0.73842590,-0.38758500
-0.58389803,-0.72090820,-0.38758500
-0.58133803,-0.72090820,0.05340739
-0.57877803,-0.72090820,0.05340739
-0.57621803,-0.72090820,-0.82857750
-0.57365803,-0.70345160,-0.38758500
-0.57109803,-0.70345160,0.05340739
-0.56853803,-0.70345160,0.05340739
-0.56597803,-0.70345160,0.05340739
-0.56341803,-0.70345160,0.05340739
-0.56085803,-0.70345160,0.05340739
-0.55829803,-0.68593400,0.05340739
-0.55573803,-0.70345160,0.05340739
-0.55317803,-0.68593400,0.05340739
-0.55061803,-0.70345160,-0.82857750
-0.54805803,-0.68593400,-0.38758500
-0.54549803,-0.68593400,-0.38758500
-0.54293803,-0.68593400,0.05340739
-0.54037803,-0.66847740,-0.82857750
-0.53781803,-0.68593400,-0.38758500
-0.53525803,-0.68593400,0.05340739
-0.53269803,-0.66847740,-0.38758500
-0.53013803,-0.66847740,-0.38758500
-0.52757803,-0.66847740,-0.38758500
-0.52501803,-0.66847740,0.05340739
-0.52245803,-0.66847740,-0.82857750
-0.51989803,-0.66847740,-0.82857750
-0.51733803,-0.65095980,0.05340739
-0.51477803,-0.66847740,-0.38758500
-0.51221803,-0.66847740,-0.38758500
-0.50965803,-0.65095980,-0.38758500
-0.50709803,-0.65095980,0.05340739
-0.50453803,-0.65095980,-0.38758500
-0.50197803,-0.65095980,-0.82857750
-0.49941803,-0.65095980,0.05340739
-0.49685803,-0.63350320,-0.38758500
-0.49429803,-0.65095980,-0.38758500
-0.49173803,-0.63350320,-0.38758500
-0.48917803,-0.63350320,0.05340739
-0.48661803,-0.63350320,-0.38758500
-0.48405803,-0.61598560,-0.38758500
-0.48149803,-0.63350320,0.05340739
-0.47893803,-0.63350320,0.05340739
-0.47637803,-0.63350320,-0.38758500
-0.47381803,-0.61598560,-0.82857750
-0.47125803,-0.59852900,0.05340739
-0.46869803,-0.61598560,-0.38758500
-0.46613803,-0.61598560,-0.82857750
-0.46357803,-0.59852900,0.49287390
-0.46101803,-0.59852900,0.05340739
-0.45845803,-0.59852900,0.05340739
-0.45589803,-0.59852900,0.05340739
-0.45333803,-0.59852900,0.05340739
